Tradition,tradition_name,not_coastal,ethos_bellicose,ethos_bureaucratic,ethos_courtly,ethos_communal,ethos_egalitarian,ethos_spiritual,ethos_stoic,heritage1,heritage2,heritage3,heritage4,heritage5,plains,jungle,farmlands,forest,hills,mountains,steppe,taiga,desert,heritage_kdccchbhff_seed
Adaptive Skirmishers,tradition_adaptive_skirmishing,1,0.75,0.5,0.5,0.5,0.5,0.75,0.75,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Battlefield Looters,tradition_battlefield_looters,1,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Forest Fighters,tradition_forest_fighters,1,0.75,0.5,0.5,0.75,0.5,0.5,0.75,0.1,0.1,0.1,0.1,0.1,0,0,0.75,0,0,0,0,0.75,0,0.1
Formation Fighting Experts,tradition_formation_fighting,1,0.75,0.5,0.75,0.75,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Frugal Armorsmiths,tradition_frugal_armorsmiths,1,0.75,0.5,0.5,0.75,0.5,0.5,0.75,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Highland Warriors,tradition_highland_warriors,1,0.75,0.5,0.5,0.75,0.5,0.5,0.75,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0.75,0,0,0,0,0.1
Hit-and-Run Tacticians,tradition_hit_and_run,1,0.75,0.5,0.5,0.5,0.75,0.75,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Horse Breeders,tradition_horse_breeder,1,0.75,0.5,0.5,0.75,0.5,0.5,0.75,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Jungle Warriors,tradition_jungle_warriors,1,0.75,0.5,0.5,0.75,0.5,0.5,0.75,0.1,0.1,0.1,0.1,0.1,0,0.75,0,0,0,0,0,0,0,0.1
Mountaineers,tradition_mountaineers,1,0.75,0.5,0.5,0.75,0.5,0.5,0.75,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0.75,0,0,0,0.1
Only the Strong,tradition_only_the_strong,1,0.75,0.5,0.5,0.5,0.5,0.5,0.75,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Quarrelsome,tradition_quarrelsome,1,0.75,0.5,0.5,0.5,0.5,0.75,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Recognition of Talent,tradition_talent_acquisition,1,0.75,0.5,0.75,0.5,0.75,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Reverence for Veterans,tradition_reverence_for_veterans,1,0.75,0.5,0.5,0.5,0.75,0.5,0.75,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Stalwart Defenders,tradition_stalwart_defenders,1,0.75,0.5,0.75,0.5,0.5,0.5,0.75,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Stand and Fight!,tradition_stand_and_fight,1,0.75,0.5,0.5,0.5,0.5,0.75,0.75,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Strength in Numbers,tradition_strength_in_numbers,1,0.75,0.5,0.5,0.5,0.5,0.75,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Swords for Hire,tradition_swords_for_hire,1,0.75,0.5,0.75,0.75,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Warrior Priests,tradition_warrior_monks,1,0.75,0.5,0.5,0.5,0.5,0.75,0.5,0.1,0.1,0.1,0.1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Warriors by Merit,tradition_warriors_by_merit,1,0.75,0.5,0.5,0.75,0.75,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Warriors of the Dry,tradition_warriors_of_the_dry,1,0.75,0.5,0.5,0.75,0.5,0.5,0.75,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0.75,0.1
Winter Warriors,tradition_winter_warriors,1,0.75,0.5,0.5,0.75,0.5,0.5,0.75,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.1
Longbow Competitions,tradition_longbow_competitions,1,0.5,0.75,0.5,0.5,0.5,0.5,0.75,0.1,0.1,0.1,1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Malleable Invaders,tradition_malleable_invaders,1,0.75,0.75,0.5,0.5,0.75,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Bound by Faith,tradition_faith_bound,1,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
By the Sword,tradition_by_the_sword,1,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Concubines,tradition_concubines,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Culinary Artists,tradition_culinary_art,1,0.5,0.5,0.75,0.75,0.5,0.75,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Frequent Festivities,tradition_festivities,1,0.5,0.5,0.75,0.75,0.5,0.5,0.75,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Linguists,tradition_language_scholars,1,0.5,0.75,0.5,0.5,0.75,0.75,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Medicinal Herbalists,tradition_medicinal_plants,1,0.5,0.75,0.5,0.5,0.5,0.5,0.75,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Merciful Blindings,tradition_merciful_blindings,1,0.5,0.5,0.75,0.5,0.5,0.75,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Monogamous,tradition_monogamous,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Polygamous,tradition_polygamous,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Religion Blending,tradition_religion_blending,1,0.5,0.5,0.75,0.75,0.5,0.75,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Religious Patronage,tradition_religious_patronage,1,0.5,0.5,0.75,0.75,0.5,0.75,0.5,0.1,0.1,0.1,0.1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Runestone Raisers,tradition_runestones,1,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Sacred Groves,tradition_sacred_groves,1,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Sacred Hunts,tradition_sacred_hunts,1,0.75,0.5,0.5,0.5,0.5,0.75,0.75,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Sorcerous Metallurgy,tradition_sorcerous_metallurgy,1,0.5,0.5,0.5,0.75,0.5,0.75,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Tabletop Warriors,tradition_fp2_strategy_gamers,1,0.75,0.5,0.75,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Mystical Ancestors,tradition_mystical_ancestors,1,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Sacred Mountains,tradition_sacred_mountains,1,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Avid Falconers,tradition_ep2_avid_falconers,1,0.5,0.5,0.75,0.5,0.5,0.5,0.75,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Beacon of Learning,tradition_fp3_beacon_of_learning,1,0.5,0.5,0.75,0.75,0.5,0.75,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Charismatic (Welcoming),tradition_welcoming,1,0.5,0.5,0.5,0.75,0.75,0.5,0.75,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Charitable,tradition_charitable,1,0.5,0.5,0.5,0.75,0.5,0.75,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Chivalry,tradition_chivalry,1,0.75,0.5,0.75,0.5,0.75,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Dexterous Fishermen,tradition_fishermen,0,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Equitable,tradition_equitable,1,0.5,0.5,0.5,0.5,0.75,0.5,0.75,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Enlightened Magnates,tradition_fp3_enlightened_magnates,1,0.5,0.5,0.75,0.75,0.5,0.75,0.5,1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Expert Artisans,tradition_artisans,1,0.5,0.5,0.75,0.75,0.5,0.75,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Eye for an Eye,tradition_eye_for_an_eye,1,0.75,0.5,0.5,0.75,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Forbearing,tradition_forbearing,1,0.5,0.5,0.5,0.5,0.5,0.75,0.75,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Industrious,tradition_hard_working,1,0.75,0.5,0.5,0.75,0.5,0.5,0.75,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Life is just a Joke,tradition_life_is_just_a_joke,1,0.5,0.5,0.5,0.75,0.5,0.5,0.75,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Loyal Subjects,tradition_loyal_soldiers,1,0.75,0.5,0.5,0.75,0.5,0.5,0.75,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Martial Admiration,tradition_martial_admiration,1,0.75,0.5,0.5,0.5,0.5,0.5,0.75,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Mendicant Mystics,tradition_mendicant_mystics,1,0.5,0.5,0.5,0.75,0.5,0.75,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Modest,tradition_modest,1,0.5,0.5,0.5,0.5,0.5,0.75,0.75,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Musical Theorists,tradition_music_theory,1,0.5,0.5,0.75,0.75,0.5,0.75,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Noble Adoption,tradition_noble_adoption,1,0.5,0.5,0.5,0.75,0.5,0.75,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Pacifists,tradition_pacifism,1,0.5,0.5,0.5,0.5,0.75,0.75,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Philosopher Culture,tradition_philosopher_culture,1,0.5,0.5,0.75,0.75,0.5,0.75,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Practiced Pirates,tradition_practiced_pirates,0,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Prolific Hunters,tradition_hunters,1,0.75,0.5,0.5,0.5,0.5,0.75,0.75,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Refined Poetry,tradition_poetry,1,0.5,0.5,0.75,0.75,0.5,0.75,0.5,0.1,0.1,0.1,1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Ritualized Friendship,tradition_fp2_ritualised_friendship,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1,1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1
Seafarers,tradition_seafaring,0,0.75,0.75,0.5,0.5,0.5,0.75,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Spartan,tradition_spartan,1,0.5,0.5,0.5,0.75,0.5,0.5,0.75,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Storytellers,tradition_storytellers,1,0.5,0.5,0.75,0.75,0.5,0.5,0.75,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Strong Believers,tradition_zealous_people,1,0.5,0.5,0.5,0.75,0.5,0.75,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
The Right to Prove,tradition_fp1_the_right_to_prove,1,0.75,0.5,0.5,0.75,0.75,0.5,0.5,0.1,0.1,1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
Warrior Culture,tradition_warrior_culture,1,0.75,0.5,0.5,0.5,0.5,0.75,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1
